Id;Фамилия;Имя;Отчество;Возраст;Пол;Магазин;До_пенсии
1;Ефимов;Августин;Андреевич;31;м;А1400;29
2;Сысоева;Марфа;Арсеньевна;46;ж;А1400;9
3;Гуляева;Марина;Еремеевна;21;ж;А1400;34
4;Александров;Леонард;Эльдарович;41;м;А1400;19
5;Крюков;Иван;Викторович;44;м;А1400;16
6;Горбачёв;Борис;Денисович;35;м;А1400;25
7;Савина;Святослава;Адольфовна;23;ж;А1400;32
8;Рыбакова;Римма;Демьяновна;44;ж;А1400;11
9;Беспалов;Филипп;Серапионович;24;м;А1400;36
10;Силин;Адам;Петрович;23;м;А1714;37
11;Исаева;Доминика;Агафоновна;28;ж;А1714;27
12;Сысоев;Станислав;Гордеевич;35;м;А1714;25
13;Филиппова;Симона;Пантелеймоновна;23;ж;А1714;32
14;Фомичёв;Лаврентий;Геннадиевич;51;м;А1714;9
15;Блинов;Илья;Христофорович;52;м;Б766;8
16;Исаев;Влас;Антонинович;25;м;Б766;35
17;Юдин;Ипполит;Никитевич;31;м;Б766;29
18;Юдин;Устин;Гордеевич;45;м;Б766;15
19;Самсонова;Харита;Ефимовна;30;ж;Б766;25
20;Николаева;Рамина;Иринеевна;45;ж;Б1911;10
21;Мухина;Нонна;Петровна;27;ж;Б1911;28
22;Копылов;Наум;Юрьевич;52;м;Б1911;8
23;Зимин;Панкратий;Геннадьевич;29;м;Б1911;31
24;Ситникова;Романа;Романовна;34;ж;Б1911;21
25;Мухин;Вадим;Тимофеевич;43;м;Б1911;17
26;Павлова;Дэнна;Романовна;33;ж;Б1911;22
27;Данилова;Мелитта;Протасьевна;36;ж;Б1911;19
28;Ситников;Анатолий;Егорович;33;м;Б1911;27
29;Егоров;Пантелей;Авксентьевич;48;м;Б1911;12
30;Бирюкова;Сильвия;Аристарховна;36;ж;Б1911;19
31;Муравьёва;Адель;Серапионовна;51;ж;Б1911;4
32;Белова;Яна;Григорьевна;45;ж;Б138;10
33;Киселёв;Кондрат;Георгиевич;34;м;Б138;26
34;Дементьева;Дарья;Никитевна;31;ж;Б138;24
35;Меркушев;Тимур;Митрофанович;21;м;Б138;39
36;Брагин;Евдоким;Адольфович;21;м;Б138;39
37;Михеев;Анатолий;Андреевич;49;м;Б138;11
38;Самойлова;Эжени;Павловна;42;ж;Б138;13
39;Федосеев;Варлам;Сергеевич;27;м;Б138;33
40;Гаврилов;Панкратий;Петрович;23;м;Б138;37
41;Власова;Инесса;Игоревна;28;ж;Б138;27
42;Красильников;Фрол;Максимович;49;м;Б941;11
43;Селиверстов;Любомир;Созонович;47;м;Б941;13
44;Рогова;Альвина;Тимуровна;49;ж;Б941;6
45;Селезнёва;Асида;Михаиловна;35;ж;Б941;20
46;Брагина;Азалия;Ефимовна;42;ж;Б941;13
47;Комиссарова;Роксана;Робертовна;42;ж;М1558;13
48;Калашникова;Нина;Михайловна;33;ж;М1558;22
49;Дорофеева;София;Лукьяновна;39;ж;М1558;16
50;Сорокина;Эллада;Созоновна;37;ж;М1558;18
51;Федосеева;Милена;Серапионовна;39;ж;М1558;16
52;Галкин;Ярослав;Донатович;29;м;М1558;31
53;Мухин;Митрофан;Ярославович;44;м;М1558;16
